,open,high,low,close,bid,ask
2021-09-10 18:14:46+02:00,46914.78,47399.97,44738.9,45344.53,45344.52,45344.53
2021-09-10 18:14:48+02:00,46909.73,47399.97,44738.9,45344.08,45340.73,45343.266
2021-09-10 18:14:50+02:00,46908.5,47399.97,44738.9,45341.98,45341.97,45341.98
2021-09-10 18:14:52+02:00,46919.117,47399.97,44738.9,45344.516,45344.51,45344.52
2021-09-10 18:14:54+02:00,46922.02,47399.97,44738.9,45344.516,45344.51,45344.52
2021-09-10 18:14:56+02:00,46921.984,47399.97,44738.9,45332.47,45332.453,45332.47
2021-09-10 18:14:58+02:00,46918.008,47399.97,44738.9,45324.008,45324.0,45324.01
2021-09-10 18:15:00+02:00,46916.477,47399.97,44738.9,45325.242,45325.242,45325.25
2021-09-10 18:15:02+02:00,46916.85,47399.97,44738.9,45327.395,45327.395,45327.406
2021-09-10 18:15:04+02:00,46924.58,47399.97,44738.9,45329.266,45329.258,45329.273
2021-09-10 18:15:06+02:00,46938.04,47399.97,44738.9,45334.83,45334.82,45334.83
2021-09-10 18:15:08+02:00,46943.88,47399.97,44738.9,45337.414,45337.406,45337.414
2021-09-10 18:15:10+02:00,46936.664,47399.97,44738.9,45343.367,45343.91,45344.47
2021-09-10 18:15:12+02:00,46940.008,47399.97,44738.9,45344.46,45344.46,45344.47
2021-09-10 18:15:14+02:00,46940.145,47399.97,44738.9,45365.188,45365.18,45365.188
2021-09-10 18:15:16+02:00,46940.15,47399.97,44738.9,45361.36,45361.355,45361.367
2021-09-10 18:15:18+02:00,46928.133,47399.97,44738.9,45368.453,45367.82,45367.83
2021-09-10 18:15:20+02:00,46924.66,47399.97,44738.9,45356.773,45356.77,45356.78
2021-09-10 18:15:22+02:00,46917.234,47399.97,44738.9,45361.008,45361.008,45361.023
2021-09-10 18:15:24+02:00,46917.15,47399.97,44738.9,45369.758,45370.883,45370.895
2021-09-10 18:15:26+02:00,46919.645,47399.97,44738.9,45366.555,45366.55,45366.56
2021-09-10 18:15:28+02:00,46909.656,47399.97,44738.9,45372.562,45372.56,45372.57
2021-09-10 18:15:30+02:00,46905.016,47399.97,44738.9,45370.133,45370.125,45370.133
2021-09-10 18:15:32+02:00,46900.016,47399.97,44738.9,45377.73,45377.312,45377.734
2021-09-10 18:15:34+02:00,46898.508,47399.97,44738.9,45383.93,45383.93,45383.94
2021-09-10 18:15:36+02:00,46895.516,47399.97,44738.9,45378.258,45378.254,45378.266
2021-09-10 18:15:38+02:00,46890.01,47399.97,44738.9,45377.97,45377.96,45377.97
2021-09-10 18:15:40+02:00,46891.785,47399.97,44738.9,45380.805,45380.8,45380.81
2021-09-10 18:15:42+02:00,46887.84,47399.97,44738.9,45385.133,45385.133,45385.14
2021-09-10 18:15:44+02:00,46890.023,47399.97,44738.9,45388.32,45388.22,45388.23
2021-09-10 18:15:46+02:00,46890.953,47399.97,44738.9,45384.78,45383.977,45384.805
2021-09-10 18:15:48+02:00,46892.68,47399.97,44738.9,45385.227,45385.227,45385.234
2021-09-10 18:15:50+02:00,46896.977,47399.97,44738.9,45384.65,45384.64,45384.65
2021-09-10 18:15:52+02:00,46898.01,47399.97,44738.9,45388.49,45388.48,45388.49
2021-09-10 18:15:54+02:00,46897.992,47399.97,44738.9,45384.477,45384.48,45386.258
2021-09-10 18:15:56+02:00,46894.88,47399.97,44738.9,45386.133,45386.855,45386.863
2021-09-10 18:15:58+02:00,46892.656,47399.97,44738.9,45382.617,45382.625,45385.074
2021-09-10 18:16:00+02:00,46892.664,47399.97,44738.9,45387.11,45387.11,45387.12
2021-09-10 18:16:02+02:00,46892.67,47399.97,44738.9,45387.1,45387.1,45387.11
2021-09-10 18:16:04+02:00,46892.22,47399.97,44738.9,45379.926,45377.92,45379.926
2021-09-10 18:16:06+02:00,46887.83,47399.97,44738.9,45376.93,45376.93,45376.94
2021-09-10 18:16:08+02:00,46887.836,47399.97,44738.9,45383.035,45383.03,45383.04
2021-09-10 18:16:10+02:00,46881.367,47399.97,44738.9,45386.37,45386.37,45386.38
2021-09-10 18:16:12+02:00,46880.62,47399.97,44738.9,45386.37,45386.37,45386.38
2021-09-10 18:16:14+02:00,46874.61,47399.97,44738.9,45383.227,45383.215,45383.227
