,open,high,low,close,bid,ask
2021-09-10 18:14:46+02:00,46917.55,47399.97,44738.9,45344.53,45344.52,45344.53
2021-09-10 18:14:47+02:00,46912.01,47399.97,44738.9,45344.53,45344.52,45344.53
2021-09-10 18:14:48+02:00,46910.96,47399.97,44738.9,45344.53,45344.52,45344.53
2021-09-10 18:14:49+02:00,46908.5,47399.97,44738.9,45343.62,45336.94,45342.0
2021-09-10 18:14:50+02:00,46908.5,47399.97,44738.9,45341.96,45341.95,45341.96
2021-09-10 18:14:51+02:00,46908.5,47399.97,44738.9,45342.0,45341.99,45342.0
2021-09-10 18:14:52+02:00,46921.44,47399.97,44738.9,45344.51,45344.51,45344.52
2021-09-10 18:14:53+02:00,46916.79,47399.97,44738.9,45344.52,45344.51,45344.52
2021-09-10 18:14:54+02:00,46922.02,47399.97,44738.9,45344.52,45344.51,45344.52
2021-09-10 18:14:55+02:00,46922.02,47399.97,44738.9,45344.51,45344.51,45344.52
2021-09-10 18:14:56+02:00,46921.99,47399.97,44738.9,45334.92,45334.91,45334.92
2021-09-10 18:14:57+02:00,46921.98,47399.97,44738.9,45330.01,45330.0,45330.01
2021-09-10 18:14:58+02:00,46919.18,47399.97,44738.9,45324.01,45324.0,45324.01
2021-09-10 18:14:59+02:00,46916.84,47399.97,44738.9,45324.0,45324.0,45324.01
2021-09-10 18:15:00+02:00,46916.11,47399.97,44738.9,45326.48,45326.48,45326.49
2021-09-10 18:15:01+02:00,46916.84,47399.97,44738.9,45324.0,45324.0,45324.01
2021-09-10 18:15:02+02:00,46916.85,47399.97,44738.9,45326.27,45326.27,45326.28
2021-09-10 18:15:03+02:00,46916.85,47399.97,44738.9,45328.52,45328.52,45328.53
2021-09-10 18:15:04+02:00,46916.84,47399.97,44738.9,45328.52,45328.52,45328.53
2021-09-10 18:15:05+02:00,46932.32,47399.97,44738.9,45330.01,45330.0,45330.01
2021-09-10 18:15:06+02:00,46936.1,47399.97,44738.9,45334.83,45334.82,45334.83
2021-09-10 18:15:07+02:00,46939.98,47399.97,44738.9,45334.83,45334.82,45334.83
2021-09-10 18:15:08+02:00,46939.99,47399.97,44738.9,45334.83,45334.82,45334.83
2021-09-10 18:15:09+02:00,46947.77,47399.97,44738.9,45340.0,45339.99,45340.0
2021-09-10 18:15:10+02:00,46933.33,47399.97,44738.9,45342.26,45343.36,45344.47
2021-09-10 18:15:11+02:00,46940.0,47399.97,44738.9,45344.47,45344.46,45344.47
2021-09-10 18:15:12+02:00,46940.01,47399.97,44738.9,45344.46,45344.46,45344.47
2021-09-10 18:15:13+02:00,46940.0,47399.97,44738.9,45344.46,45344.46,45344.47
2021-09-10 18:15:14+02:00,46940.14,47399.97,44738.9,45362.41,45362.4,45362.41
2021-09-10 18:15:15+02:00,46940.15,47399.97,44738.9,45367.97,45367.96,45367.97
2021-09-10 18:15:16+02:00,46940.15,47399.97,44738.9,45366.81,45366.8,45366.81
2021-09-10 18:15:17+02:00,46940.15,47399.97,44738.9,45355.91,45355.91,45355.92
2021-09-10 18:15:18+02:00,46931.54,47399.97,44738.9,45373.14,45371.89,45371.9
2021-09-10 18:15:19+02:00,46924.73,47399.97,44738.9,45363.76,45363.75,45363.76
2021-09-10 18:15:20+02:00,46927.06,47399.97,44738.9,45357.4,45357.39,45357.4
2021-09-10 18:15:21+02:00,46922.26,47399.97,44738.9,45356.15,45356.15,45356.16
2021-09-10 18:15:22+02:00,46917.31,47399.97,44738.9,45359.36,45359.36,45359.37
2021-09-10 18:15:23+02:00,46917.16,47399.97,44738.9,45362.66,45362.66,45362.67
2021-09-10 18:15:24+02:00,46917.15,47399.97,44738.9,45368.84,45368.83,45368.84
2021-09-10 18:15:25+02:00,46917.15,47399.97,44738.9,45370.67,45372.94,45372.95
2021-09-10 18:15:26+02:00,46919.65,47399.97,44738.9,45364.29,45364.28,45364.29
2021-09-10 18:15:27+02:00,46919.64,47399.97,44738.9,45368.82,45368.82,45368.83
2021-09-10 18:15:28+02:00,46913.04,47399.97,44738.9,45370.58,45370.58,45370.59
2021-09-10 18:15:29+02:00,46906.27,47399.97,44738.9,45374.55,45374.54,45374.55
2021-09-10 18:15:30+02:00,46905.01,47399.97,44738.9,45370.13,45370.12,45370.13
2021-09-10 18:15:31+02:00,46905.02,47399.97,44738.9,45370.14,45370.13,45370.14
2021-09-10 18:15:32+02:00,46900.02,47399.97,44738.9,45377.41,45377.41,45377.42
2021-09-10 18:15:33+02:00,46900.01,47399.97,44738.9,45378.05,45377.21,45378.05
2021-09-10 18:15:34+02:00,46900.0,47399.97,44738.9,45379.18,45379.18,45379.19
2021-09-10 18:15:35+02:00,46897.02,47399.97,44738.9,45388.68,45388.68,45388.69
2021-09-10 18:15:36+02:00,46897.02,47399.97,44738.9,45377.47,45377.47,45377.48
2021-09-10 18:15:37+02:00,46894.01,47399.97,44738.9,45379.05,45379.04,45379.05
2021-09-10 18:15:38+02:00,46890.01,47399.97,44738.9,45377.97,45377.96,45377.97
2021-09-10 18:15:39+02:00,46890.01,47399.97,44738.9,45377.97,45377.96,45377.97
2021-09-10 18:15:40+02:00,46891.78,47399.97,44738.9,45380.81,45380.8,45380.81
2021-09-10 18:15:41+02:00,46891.79,47399.97,44738.9,45380.8,45380.8,45380.81
2021-09-10 18:15:42+02:00,46887.84,47399.97,44738.9,45383.61,45383.6,45383.61
2021-09-10 18:15:43+02:00,46887.84,47399.97,44738.9,45386.66,45386.66,45386.67
2021-09-10 18:15:44+02:00,46890.0,47399.97,44738.9,45386.64,45386.66,45386.67
2021-09-10 18:15:45+02:00,46890.05,47399.97,44738.9,45390.0,45389.78,45389.79
2021-09-10 18:15:46+02:00,46893.53,47399.97,44738.9,45384.35,45382.75,45384.4
2021-09-10 18:15:47+02:00,46888.38,47399.97,44738.9,45385.21,45385.2,45385.21
2021-09-10 18:15:48+02:00,46888.39,47399.97,44738.9,45385.22,45385.22,45385.23
2021-09-10 18:15:49+02:00,46896.97,47399.97,44738.9,45385.24,45385.23,45385.24
2021-09-10 18:15:50+02:00,46896.98,47399.97,44738.9,45380.81,45380.8,45380.81
2021-09-10 18:15:51+02:00,46896.97,47399.97,44738.9,45388.49,45388.48,45388.49
2021-09-10 18:15:52+02:00,46898.01,47399.97,44738.9,45388.49,45388.48,45388.49
2021-09-10 18:15:53+02:00,46898.01,47399.97,44738.9,45388.49,45388.48,45388.49
2021-09-10 18:15:54+02:00,46898.01,47399.97,44738.9,45382.57,45382.57,45386.12
2021-09-10 18:15:55+02:00,46897.97,47399.97,44738.9,45386.38,45386.39,45386.4
2021-09-10 18:15:56+02:00,46897.97,47399.97,44738.9,45388.48,45388.48,45388.49
2021-09-10 18:15:57+02:00,46891.79,47399.97,44738.9,45383.79,45385.23,45385.24
2021-09-10 18:15:58+02:00,46892.65,47399.97,44738.9,45380.33,45380.35,45385.24
2021-09-10 18:15:59+02:00,46892.66,47399.97,44738.9,45384.91,45384.9,45384.91
2021-09-10 18:16:00+02:00,46892.66,47399.97,44738.9,45387.11,45387.11,45387.12
2021-09-10 18:16:01+02:00,46892.67,47399.97,44738.9,45387.11,45387.11,45387.12
2021-09-10 18:16:02+02:00,46892.67,47399.97,44738.9,45387.11,45387.11,45387.12
2021-09-10 18:16:03+02:00,46892.67,47399.97,44738.9,45387.09,45387.09,45387.1
2021-09-10 18:16:04+02:00,46892.66,47399.97,44738.9,45382.91,45378.91,45382.91
2021-09-10 18:16:05+02:00,46891.78,47399.97,44738.9,45376.94,45376.93,45376.94
2021-09-10 18:16:06+02:00,46887.83,47399.97,44738.9,45376.93,45376.93,45376.94
2021-09-10 18:16:07+02:00,46887.83,47399.97,44738.9,45376.93,45376.93,45376.94
2021-09-10 18:16:08+02:00,46887.84,47399.97,44738.9,45380.85,45380.85,45380.86
2021-09-10 18:16:09+02:00,46887.83,47399.97,44738.9,45385.22,45385.21,45385.22
2021-09-10 18:16:10+02:00,46881.36,47399.97,44738.9,45386.37,45386.37,45386.38
2021-09-10 18:16:11+02:00,46881.37,47399.97,44738.9,45386.37,45386.37,45386.38
2021-09-10 18:16:12+02:00,46880.62,47399.97,44738.9,45386.37,45386.37,45386.38
2021-09-10 18:16:13+02:00,46880.62,47399.97,44738.9,45386.37,45386.37,45386.38
2021-09-10 18:16:14+02:00,46876.37,47399.97,44738.9,45381.24,45381.23,45381.24
2021-09-10 18:16:15+02:00,46872.85,47399.97,44738.9,45385.21,45385.2,45385.21
