,close,mav_short,mav_medium,ema_short,ema_med,k_line,d_line,so_20,so_80,tsv_so_k100,so_tsv_k100,tsv_so_KD,macd_ema_fast,macd_ema_slow,macd_base,macd_signal,macd_hist,macd_color,bohlinger_upper,bohlinger_lower,ema_switch,so_switch,macd_switch
2021-09-10 18:14:46+02:00,45344.53,,,45344.53125,45344.53125,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:14:48+02:00,45344.08,,,45344.259375,45344.28725961539,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:14:50+02:00,45341.98,,,45343.17989309211,45343.39723794291,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:14:52+02:00,45344.516,,,45343.73473557692,45343.74439338235,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:14:54+02:00,45344.516,45343.92421875,,45344.03450829384,45343.94943458642,,,20,80,0,0,0,,,,,,green,,,1,0,0
2021-09-10 18:14:56+02:00,45332.47,45341.51171875,,45339.80822368421,45341.23147836758,,,20,80,0,0,0,,,,,,green,,,-1,0,0
2021-09-10 18:14:58+02:00,45324.008,45337.49765625,,45334.21400330865,45337.50388275963,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:00+02:00,45325.242,45334.15,,45331.101971401666,45335.032015928824,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:02+02:00,45327.395,45330.72578125,,45329.833153143096,45333.57777135419,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:04+02:00,45329.266,45327.67578125,,45329.64063859866,45332.79397158893,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:06+02:00,45334.83,45328.14765625,,45331.39002542847,45333.14986346006,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:08+02:00,45337.414,45330.82890625,,45333.41363444175,45333.87271581399,,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:10+02:00,45343.367,45334.45390625,,45336.74862139481,45335.44039264547,,,20,80,0,0,0,,,,,,green,,,1,0,0
2021-09-10 18:15:12+02:00,45344.46,45337.8671875,,45339.32822984609,45336.89738803478,99.657403882756,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:14+02:00,45365.188,45345.0515625,,45347.96771619844,45341.38308307577,100.0,,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:16+02:00,45361.36,45350.3578125,,45352.43840882172,45344.50156373842,90.70385126162019,96.78708504812539,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:18+02:00,45368.453,45356.565625,,45357.782071147194,45348.19171834474,100.0,96.90128375387339,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:20+02:00,45356.773,45359.246875,,45357.44563228365,45349.499223978586,73.72121638249253,88.14168921470423,20,80,0,0,0,,,,,,green,,,0,-1,0
2021-09-10 18:15:22+02:00,45361.008,45362.55625,,45358.63356155567,45351.23616085931,83.24837405519423,85.65653014589559,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:24+02:00,45369.758,45363.4703125,45345.03046875,45362.34276066625,45354.00917318754,100.0,85.65653014589559,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:26+02:00,45366.555,45364.509375,45346.131640625,45363.74701781109,45355.87465658482,92.80449280449281,92.01762228656234,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:28+02:00,45372.562,45365.33125,45347.555859375,45366.6859046774,45358.341685205996,100.0,97.60149760149761,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:30+02:00,45370.133,45368.003125,45348.9634765625,45367.83497633939,45360.07618116112,94.38830747022736,95.73093342490672,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:32+02:00,45377.73,45371.34765625,45350.62421875,45371.13366976251,45362.66218183698,100.0,98.12943582340911,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:34+02:00,45383.93,45374.18203125,45352.594921875,45375.39917793155,45365.76620129544,100.0,98.12943582340911,20,80,0,0,0,,,,,,green,,,0,0,0
2021-09-10 18:15:36+02:00,45378.258,45376.52265625,45354.884375,45376.35208127904,45367.58374410515,86.01694915254237,95.33898305084746,20,80,0,0,0,45358.429281336765,45368.170239544066,9.740958207301446,9.740958207301446,0.0,green,,,0,0,0
2021-09-10 18:15:38+02:00,45377.97,45377.60390625,45357.582421875,45376.89098033782,45369.09078906727,84.89707046714173,90.30467320656136,20,80,0,0,0,45359.87664938589,45369.67770269113,9.801053305236564,9.75297722688847,0.04807607834809424,green,,,0,0,0
2021-09-10 18:15:40+02:00,45380.805,45379.73828125,45360.360546875,45378.195564699825,45370.78684593797,88.49252013808976,86.46884658592462,20,80,0,0,0,45361.42687443138,45371.389546507875,9.962672076493618,9.7949161968095,0.1677558796841172,green,,,0,0,0
2021-09-10 18:15:42+02:00,45385.133,45381.21875,45363.2474609375,45380.50799872256,45372.859992928505,100.0,91.12986353507716,20,80,0,0,0,45363.18286984388,45373.50389512205,10.321025278171874,9.900138013081975,0.42088726508989893,green,,,0,0,0
2021-09-10 18:15:44+02:00,45388.32,45382.096875,45366.2001953125,45383.11211689576,45375.09048749952,100.0,96.16417337936326,20,80,0,0,0,45365.04490263322,45375.78334394942,10.738441316199896,10.067798673705559,0.6706426424943377,green,,,0,0,0
2021-09-10 18:15:46+02:00,45384.78,45383.4015625,45368.6978515625,45383.66849653156,45376.48661965449,88.7815750371471,96.26052501238236,20,80,0,0,0,45366.50685429002,45377.16763718797,10.66078289795405,10.186395518555258,0.4743873793987916,green,,,0,0,0
2021-09-10 18:15:48+02:00,45385.227,45384.853125,45371.0884765625,45384.18785305815,45377.74424554715,88.67276887871853,92.48478130528854,20,80,0,0,0,45367.89349934261,45378.40747185136,10.513972508750157,10.251910916594237,0.26206159215591995,green,,,0,0,0
2021-09-10 18:15:50+02:00,45384.65,45385.621875,45373.1525390625,45384.34138144267,45378.7366886989,83.12993539124193,86.86142643570251,20,80,0,0,0,45369.13460587278,45379.36762041269,10.233014539910073,10.248131641257405,-0.015117101347332351,red,,,0,0,-1
2021-09-10 18:15:52+02:00,45388.49,45386.29296875,45375.35390625,45385.72368280242,45380.13718802297,100.0,90.60090142332017,20,80,0,0,0,45370.56821145627,45380.77079900305,10.20258754677343,10.23902282236061,-0.03643527558718063,red,,,0,0,0
2021-09-10 18:15:54+02:00,45384.477,45385.52421875,45376.318359375,45385.307975749456,45380.759924627404,78.14428601830177,87.09140713651458,20,80,0,0,0,45371.59845968173,45381.34091646412,9.742456782390946,10.139709614366678,-0.3972528319757327,red,,,0,-1,0
2021-09-10 18:15:56+02:00,45386.133,45385.79453125,45377.55703125,45385.58292145885,45381.530477252636,87.167482443073,88.43725615379158,20,80,0,0,0,45372.67507840901,45382.078131238864,9.40305282985355,9.992378257464054,-0.589325427610504,red,,,0,0,0
2021-09-10 18:15:58+02:00,45382.617,45385.27265625,45378.265234375,45384.59434317083,45381.68624089348,45.42483660130719,70.245535020894,20,80,0,0,0,45373.41153093427,45382.16106297135,8.749532037079916,9.743809013387226,-0.9942769763073098,red,,,0,-1,0
2021-09-10 18:16:00+02:00,45387.11,45385.76484375,45379.78203125,45385.43268728448,45382.46319466546,86.89194207203862,73.1614203721396,20,80,0,0,0,45374.42618605025,45382.92234174498,8.496155694730987,9.494278349655978,-0.9981226549249911,red,,,0,0,0
2021-09-10 18:16:02+02:00,45387.1,45385.4875,45381.08671875,45385.98897909845,45383.12744571638,86.81767545488303,73.04481804274296,20,80,0,0,0,45375.365102824304,45383.56529878421,8.200195959907433,9.23546187170627,-1.035265911798838,red,45406.18056527573,45355.99287222426,0,0,0
2021-09-10 18:16:04+02:00,45379.926,45384.57734375,45381.5951171875,45383.96791296618,45382.669102759515,18.603787597474934,64.10446837479886,20,80,0,0,0,45375.70293085584,45383.00537300972,7.302442153879383,8.848857928140893,-1.5464157742615097,red,45406.2790932865,45356.911141088494,0,-1,0
2021-09-10 18:16:06+02:00,45376.93,45382.73671875,45382.1138671875,45381.62183766935,45381.847708092835,0.0,35.14048768411932,20,80,0,0,0,45375.79380171837,45382.070652162074,6.276850443704461,8.334456431253606,-2.0576059875491453,red,45406.072468290855,45358.15526608415,-1,0,0
2021-09-10 18:16:08+02:00,45383.035,45382.8203125,45382.6375,45382.092943881835,45382.017605616624,52.82189929030078,23.80856229592524,20,80,0,0,0,45376.33019835035,45382.219037406365,5.888839056016877,7.845332956206262,-1.9564939001893844,red,45405.61046551412,45359.66453448588,1,1,0
2021-09-10 18:16:10+02:00,45386.37,45382.67265625,45383.4494140625,45383.5189938761,45382.64035587595,81.68300101385603,44.834966768052276,20,80,0,0,0,45377.073968379955,45382.85781530539,5.783846925434773,7.433035750051965,-1.649188824617192,red,45405.20132692153,45361.697501203475,0,0,0
2021-09-10 18:16:12+02:00,45386.37,45382.5265625,45383.8814453125,45384.46969385105,45383.173923116075,81.68300101385603,72.06263377267095,20,80,0,0,0,45377.76264433329,45383.39831968149,5.635675348195946,7.073563669680762,-1.4378883214848157,red,45404.16487174357,45363.598018881436,0,0,0
2021-09-10 18:16:14+02:00,45383.227,45383.18671875,45383.8462890625,45384.0553167291,45383.18145033995,54.477864143291654,72.61462205700123,20,80,0,0,0,45378.16737901231,45383.371895499724,5.204516487414367,6.699754233227483,-1.4952377458131165,red,45402.41846370145,45365.274114423555,0,-1,0
