,open,high,low,close,bid,ask
2021-09-11 15:10:28+02:00,45987.875,46232.47,44132.29,45575.215,45575.21,45575.22
2021-09-11 15:10:30+02:00,45982.715,46232.47,44132.29,45575.22,45575.21,45575.22
2021-09-11 15:10:32+02:00,45980.76,46232.47,44132.29,45575.215,45575.21,45575.22
2021-09-11 15:10:34+02:00,45983.24,46232.47,44132.29,45576.2,45576.19,45576.2
2021-09-11 15:10:36+02:00,45979.117,46232.47,44132.29,45577.18,45577.17,45577.18
2021-09-11 15:10:38+02:00,45979.566,46232.47,44132.29,45575.42,45575.42,45575.43
2021-09-11 15:10:40+02:00,45977.914,46232.47,44132.29,45571.895,45571.89,45571.9
2021-09-11 15:10:42+02:00,45989.758,46232.47,44132.29,45571.9,45571.89,45571.9
2021-09-11 15:10:44+02:00,45993.934,46232.47,44132.29,45571.895,45571.89,45571.9
2021-09-11 15:10:46+02:00,45995.59,46232.47,44132.29,45571.9,45571.89,45571.9
2021-09-11 15:10:48+02:00,45994.11,46232.47,44132.29,45571.89,45571.89,45571.9
2021-09-11 15:10:50+02:00,45991.875,46232.47,44132.29,45571.89,45571.89,45571.9
2021-09-11 15:10:52+02:00,45988.32,46232.47,44132.29,45558.39,45558.383,45558.395
2021-09-11 15:10:54+02:00,45991.63,46232.47,44132.29,45556.797,45557.203,45557.215
2021-09-11 15:10:56+02:00,45984.16,46232.47,44132.29,45563.746,45564.09,45564.1
2021-09-11 15:10:58+02:00,45978.52,46232.47,44132.29,45564.977,45564.97,45564.98
2021-09-11 15:11:00+02:00,45979.992,46232.47,44132.29,45564.97,45564.97,45564.98
2021-09-11 15:11:02+02:00,45966.336,46232.47,44132.29,45559.586,45559.58,45559.59
2021-09-11 15:11:04+02:00,45964.57,46232.47,44132.29,45557.29,45557.29,45557.3
2021-09-11 15:11:06+02:00,45977.035,46232.47,44132.29,45555.008,45555.0,45555.01
2021-09-11 15:11:08+02:00,45979.1,46232.47,44132.29,45555.008,45555.0,45555.01
2021-09-11 15:11:10+02:00,45979.35,46232.47,44132.29,45555.008,45555.0,45555.01
2021-09-11 15:11:12+02:00,45971.45,46232.47,44132.29,45555.008,45555.0,45555.01
2021-09-11 15:11:14+02:00,45973.965,46232.47,44132.29,45555.01,45555.0,45555.01
2021-09-11 15:11:16+02:00,45980.797,46232.47,44132.29,45556.203,45556.195,45556.203
2021-09-11 15:11:18+02:00,45969.23,46232.47,44132.29,45555.008,45555.008,45555.023
2021-09-11 15:11:20+02:00,45978.4,46232.47,44132.29,45557.574,45557.57,45557.58
2021-09-11 15:11:22+02:00,45980.07,46232.47,44132.29,45555.03,45555.023,45555.035
2021-09-11 15:11:24+02:00,45988.31,46232.47,44132.29,45555.023,45555.02,45555.03
2021-09-11 15:11:26+02:00,45988.312,46232.47,44132.29,45555.03,45555.02,45555.03
2021-09-11 15:11:28+02:00,45989.383,46232.47,44132.29,45555.03,45555.02,45555.03
2021-09-11 15:11:30+02:00,45990.465,46232.47,44132.29,45555.023,45555.02,45555.03
2021-09-11 15:11:32+02:00,45990.465,46232.47,44132.29,45555.023,45555.02,45555.03
2021-09-11 15:11:34+02:00,45990.46,46232.47,44132.29,45555.02,45555.02,45555.03
2021-09-11 15:11:36+02:00,45990.074,46232.47,44132.29,45555.03,45555.02,45555.03
2021-09-11 15:11:38+02:00,45989.676,46232.47,44132.29,45555.03,45555.02,45555.03
2021-09-11 15:11:40+02:00,45982.367,46232.47,44132.29,45555.0,45555.0,45555.01
2021-09-11 15:11:42+02:00,45975.496,46232.47,44132.29,45555.008,45555.0,45555.01
2021-09-11 15:11:44+02:00,45971.273,46232.47,44132.29,45555.01,45555.0,45555.01
2021-09-11 15:11:46+02:00,45972.875,46232.47,44132.29,45552.67,45552.67,45552.68
2021-09-11 15:11:48+02:00,45972.875,46232.47,44132.29,45553.574,45553.57,45553.58
2021-09-11 15:11:50+02:00,45983.195,46232.47,44132.29,45553.574,45553.57,45553.58
2021-09-11 15:11:52+02:00,45989.156,46232.47,44132.29,45553.58,45553.57,45553.58
2021-09-11 15:11:54+02:00,45986.64,46232.47,44132.29,45550.086,45550.08,45550.09
2021-09-11 15:11:56+02:00,45979.477,46232.47,44132.29,45548.703,45548.7,45548.71
2021-09-11 15:11:58+02:00,45979.46,46232.47,44132.29,45544.15,45544.14,45544.15
2021-09-11 15:12:00+02:00,45977.383,46232.47,44132.29,45547.4,45547.4,45547.41
2021-09-11 15:12:02+02:00,45977.484,46232.47,44132.29,45544.297,45544.29,45544.3
2021-09-11 15:12:04+02:00,45967.71,46232.47,44132.29,45544.3,45544.29,45544.3
2021-09-11 15:12:06+02:00,45966.32,46232.47,44132.29,45544.3,45544.29,45544.3
2021-09-11 15:12:08+02:00,45965.56,46232.47,44132.29,45545.117,45545.11,45545.12
2021-09-11 15:12:10+02:00,45965.24,46232.47,44132.29,45544.73,45544.72,45544.73
2021-09-11 15:12:12+02:00,45950.01,46232.47,44132.29,45544.336,45544.33,45544.34
2021-09-11 15:12:14+02:00,45950.26,46232.47,44132.29,45544.75,45544.742,45544.75
2021-09-11 15:12:16+02:00,45948.758,46232.47,44132.29,45545.164,45545.156,45545.164
2021-09-11 15:12:18+02:00,45953.355,46232.47,44132.29,45544.383,45544.38,45544.39
2021-09-11 15:12:20+02:00,45953.54,46232.47,44132.29,45544.383,45544.38,45544.39
2021-09-11 15:12:22+02:00,45952.965,46232.47,44132.29,45548.016,45548.01,45548.02
2021-09-11 15:12:24+02:00,45954.22,46232.47,44132.29,45549.32,45549.312,45549.32
2021-09-11 15:12:26+02:00,45952.188,46232.47,44132.29,45548.29,45548.28,45548.29
2021-09-11 15:12:28+02:00,45941.516,46232.47,44132.29,45548.297,45548.29,45548.3
2021-09-11 15:12:30+02:00,45927.664,46232.47,44132.29,45546.02,45545.645,45545.656
2021-09-11 15:12:32+02:00,45926.22,46232.47,44132.29,45541.344,45541.34,45541.35
2021-09-11 15:12:34+02:00,45927.63,46232.47,44132.29,45540.797,45540.785,45540.797
2021-09-11 15:12:36+02:00,45927.63,46232.47,44132.29,45541.305,45539.53,45539.54
2021-09-11 15:12:38+02:00,45927.633,46232.47,44132.29,45539.535,45539.53,45539.54
2021-09-11 15:12:40+02:00,45927.645,46232.47,44132.29,45544.035,45544.03,45544.04
2021-09-11 15:12:42+02:00,45927.62,46232.47,44132.29,45544.984,45544.98,45544.99
2021-09-11 15:12:44+02:00,45927.625,46232.47,44132.29,45546.633,45546.633,45546.645
2021-09-11 15:12:46+02:00,45926.77,46232.47,44132.29,45551.812,45552.77,45552.78
2021-09-11 15:12:48+02:00,45925.477,46232.47,44132.29,45552.77,45552.77,45552.78
2021-09-11 15:12:50+02:00,45924.824,46232.47,44132.29,45552.78,45552.77,45552.78
2021-09-11 15:12:52+02:00,45931.863,46232.47,44132.29,45554.992,45554.99,45555.0
2021-09-11 15:12:54+02:00,45938.9,46232.47,44132.29,45548.703,45548.7,45548.71
2021-09-11 15:12:56+02:00,45938.91,46232.47,44132.29,45542.42,45542.41,45542.42
2021-09-11 15:12:58+02:00,45941.195,46232.47,44132.29,45546.516,45546.508,45546.523
2021-09-11 15:13:00+02:00,45938.47,46232.47,44132.29,45546.734,45546.73,45546.74
2021-09-11 15:13:02+02:00,45938.53,46232.47,44132.29,45550.3,45550.29,45550.3
2021-09-11 15:13:04+02:00,45935.824,46232.47,44132.29,45550.297,45550.29,45550.3
2021-09-11 15:13:06+02:00,45938.9,46232.47,44132.29,45550.297,45550.29,45550.3
2021-09-11 15:13:08+02:00,45951.22,46232.47,44132.29,45550.297,45550.29,45550.3
2021-09-11 15:13:10+02:00,45955.39,46232.47,44132.29,45550.3,45550.29,45550.3
2021-09-11 15:13:12+02:00,45954.215,46232.47,44132.29,45550.29,45550.29,45550.3
2021-09-11 15:13:14+02:00,45954.758,46232.47,44132.29,45547.5,45544.99,45545.0
2021-09-11 15:13:16+02:00,45954.758,46232.47,44132.29,45544.992,45544.99,45545.0
2021-09-11 15:13:18+02:00,45954.76,46232.47,44132.29,45554.734,45555.01,45555.02
2021-09-11 15:13:20+02:00,45954.75,46232.47,44132.29,45555.01,45555.01,45555.02
2021-09-11 15:13:22+02:00,45954.188,46232.47,44132.29,45552.66,45552.656,45552.664
2021-09-11 15:13:24+02:00,45949.01,46232.47,44132.29,45547.656,45547.645,45547.656
2021-09-11 15:13:26+02:00,45949.008,46232.47,44132.29,45539.67,45539.656,45539.67
2021-09-11 15:13:28+02:00,45949.01,46232.47,44132.29,45542.926,45542.92,45542.93
2021-09-11 15:13:30+02:00,45948.035,46232.47,44132.29,45542.92,45542.92,45542.93
2021-09-11 15:13:32+02:00,45948.984,46232.47,44132.29,45540.965,45540.96,45540.97
2021-09-11 15:13:34+02:00,45948.99,46232.47,44132.29,45540.88,45538.67,45538.688
2021-09-11 15:13:36+02:00,45948.99,46232.47,44132.29,45532.703,45532.703,45532.715
2021-09-11 15:13:38+02:00,45948.49,46232.47,44132.29,45528.945,45530.195,45532.633
2021-09-11 15:13:40+02:00,45948.977,46232.47,44132.29,45532.42,45532.414,45532.426
2021-09-11 15:13:42+02:00,45950.4,46232.47,44132.29,45527.023,45527.02,45527.03
2021-09-11 15:13:44+02:00,45949.5,46232.47,44132.29,45527.773,45527.766,45527.773
2021-09-11 15:13:46+02:00,45948.03,46232.47,44132.29,45526.97,45526.96,45526.97
2021-09-11 15:13:48+02:00,45953.484,46232.47,44132.29,45526.32,45526.31,45526.32
2021-09-11 15:13:50+02:00,45951.492,46232.47,44132.29,45523.01,45523.0,45523.01
2021-09-11 15:13:52+02:00,45951.484,46232.47,44132.29,45523.01,45523.0,45523.01
2021-09-11 15:13:54+02:00,45891.65,46232.47,44132.29,45523.01,45523.0,45523.01
2021-09-11 15:13:56+02:00,45880.312,46232.47,44132.29,45525.61,45525.992,45526.0
2021-09-11 15:13:58+02:00,45867.633,46232.47,44132.29,45528.844,45528.84,45528.85
2021-09-11 15:14:00+02:00,45863.656,46232.47,44132.29,45525.62,45525.617,45525.625
2021-09-11 15:14:02+02:00,45868.67,46232.47,44132.29,45528.24,45528.23,45528.24
2021-09-11 15:14:04+02:00,45883.516,46232.47,44132.29,45524.754,45525.38,45525.39
2021-09-11 15:14:06+02:00,45866.555,46232.47,44132.29,45524.92,45524.906,45524.92
2021-09-11 15:14:08+02:00,45860.812,46232.47,44132.29,45527.0,45526.99,45527.0
2021-09-11 15:14:10+02:00,45865.81,46232.47,44132.29,45527.0,45526.99,45527.0
2021-09-11 15:14:12+02:00,45857.117,46232.47,44132.29,45524.145,45524.14,45524.15
2021-09-11 15:14:14+02:00,45851.555,46232.47,44132.29,45524.15,45524.14,45524.15
2021-09-11 15:14:16+02:00,45854.074,46232.47,44132.29,45524.145,45524.133,45524.145
2021-09-11 15:14:18+02:00,45854.074,46232.47,44132.29,45524.133,45524.13,45524.14
2021-09-11 15:14:20+02:00,45860.02,46232.47,44132.29,45524.14,45524.13,45524.14
2021-09-11 15:14:22+02:00,45857.586,46232.47,44132.29,45524.133,45524.13,45524.14
2021-09-11 15:14:24+02:00,45862.91,46232.47,44132.29,45524.14,45524.13,45524.14
2021-09-11 15:14:26+02:00,45867.92,46232.47,44132.29,45524.133,45524.13,45524.14
2021-09-11 15:14:28+02:00,45866.242,46232.47,44132.29,45524.13,45524.13,45524.14
2021-09-11 15:14:30+02:00,45859.406,46232.47,44132.29,45524.14,45524.13,45524.14
2021-09-11 15:14:32+02:00,45858.84,46232.47,44132.29,45525.58,45525.574,45525.586
2021-09-11 15:14:34+02:00,45854.93,46232.47,44132.29,45532.98,45532.97,45532.98
2021-09-11 15:14:36+02:00,45854.926,46232.47,44132.29,45531.297,45530.312,45530.32
2021-09-11 15:14:38+02:00,45863.727,46232.47,44132.29,45524.13,45524.13,45524.14
2021-09-11 15:14:40+02:00,45866.85,46232.47,44132.29,45524.14,45524.13,45524.14
2021-09-11 15:14:42+02:00,45872.92,46232.47,44132.29,45524.13,45524.13,45524.14
2021-09-11 15:14:44+02:00,45876.18,46232.47,44132.29,45524.13,45524.13,45524.14
2021-09-11 15:14:46+02:00,45874.145,46232.47,44132.29,45524.133,45524.13,45524.14
2021-09-11 15:14:48+02:00,45874.14,46232.47,44132.29,45524.14,45524.13,45524.14
2021-09-11 15:14:50+02:00,45874.145,46232.47,44132.29,45523.16,45523.133,45523.15
2021-09-11 15:14:52+02:00,45886.57,46232.47,44132.29,45523.64,45522.41,45523.504
2021-09-11 15:14:54+02:00,45898.523,46232.47,44132.29,45522.355,45522.35,45522.36
2021-09-11 15:14:56+02:00,45897.36,46232.47,44132.29,45519.02,45519.008,45519.02
2021-09-11 15:14:58+02:00,45897.367,46232.47,44132.29,45520.684,45520.684,45520.695
2021-09-11 15:15:00+02:00,45906.82,46232.47,44132.29,45524.023,45524.023,45524.035
2021-09-11 15:15:02+02:00,45913.645,46232.47,44132.29,45524.176,45524.17,45524.18
2021-09-11 15:15:04+02:00,45909.234,46232.47,44132.29,45525.453,45525.453,45525.46
2021-09-11 15:15:06+02:00,45911.008,46232.47,44132.29,45526.734,45526.73,45526.74
2021-09-11 15:15:08+02:00,45914.594,46232.47,44132.29,45526.73,45526.73,45526.74
2021-09-11 15:15:10+02:00,45916.23,46232.47,44132.29,45531.746,45531.742,45531.75
2021-09-11 15:15:12+02:00,45920.305,46232.47,44132.29,45533.03,45531.242,45531.25
2021-09-11 15:15:14+02:00,45927.35,46232.47,44132.29,45535.047,45535.04,45535.047
2021-09-11 15:15:16+02:00,45938.875,46232.47,44132.29,45540.82,45540.812,45540.824
2021-09-11 15:15:18+02:00,45935.285,46232.47,44132.29,45541.484,45541.477,45541.492
2021-09-11 15:15:20+02:00,45931.42,46232.47,44132.29,45542.66,45542.65,45542.66
