,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,k_line,d_line,so_20,so_80,macd_ema_fast,macd_ema_slow,macd_base,macd_signal,macd_hist,macd_color,bohlinger_upper,bohlinger_lower,ema_switch,so_switch,macd_switch
2021-09-11 16:07:54+02:00,45596.31,0,,,45596.30859375,45596.30859375,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:07:56+02:00,45596.61,0,,,45596.4890625,45596.47055288462,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:07:58+02:00,45596.89,0,,,45596.67927631578,45596.63262795275,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:00+02:00,45600.99,0,,,45598.46917067307,45597.98465427035,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:02+02:00,45596.914,0,45597.5421875,,45597.87218601895,45597.70002456815,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:04+02:00,45596.91,0,45597.6625,,45597.52064732143,45597.51302983877,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:06+02:00,45595.344,0,45597.409375,,45596.74990514206,45597.04354801872,,,20,80,,,,,,green,,,-1,0,0
2021-09-11 16:08:08+02:00,45595.34,0,45597.09921875,,45596.2608005799,45596.70009387293,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:10+02:00,45594.08,0,45595.7171875,,45595.513811143785,45596.200847829416,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:12+02:00,45590.516,0,45594.4375,,45593.818347156404,45595.16747002794,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:14+02:00,45589.39,0,45592.93359375,,45592.32517720333,45594.15676347306,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:16+02:00,45588.312,0,45591.52734375,,45590.97722903176,45593.166064031284,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:18+02:00,45583.02,0,45589.06328125,,45588.3109632146,45591.49072232854,,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:20+02:00,45583.023,0,45586.85234375,,45586.54239643989,45590.123089313674,0.021739130434782608,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:22+02:00,45583.02,0,45585.353125,,45585.36542023182,45588.99674540882,0.0,,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:24+02:00,45572.97,0,45582.06875,,45581.22689617144,45586.49462970422,0.0,0.007246376811594203,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:26+02:00,45570.617,0,45578.5296875,,45577.686733493516,45584.04843357335,0.0,0.0,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:28+02:00,45572.562,0,45576.43828125,,45575.977499126886,45582.29844355556,7.397504456327986,2.465834818775995,20,80,,,,,,green,,,0,1,0
2021-09-11 16:08:30+02:00,45574.688,0,45574.77109375,,45575.54730536053,45581.14975981087,15.480612093299658,7.626038849875882,20,80,,,,,,green,,,0,1,0
2021-09-11 16:08:32+02:00,45578.68,0,45573.903125,45587.808984375,45576.59174683384,45580.77994716659,32.60663507109005,18.494917206905896,20,80,,,,,,green,,,0,1,0
2021-09-11 16:08:34+02:00,45576.69,0,45574.64765625,45586.828125,45576.62497330066,45580.17199240212,24.5694422499605,24.21889647145007,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:36+02:00,45578.676,0,45576.259375,45585.9314453125,45577.30866733106,45579.95080170397,34.34898434898435,30.508353890011634,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:38+02:00,45576.164,0,45576.9796875,45584.8951171875,45576.92709838776,45579.39376558107,27.875932469572046,28.931453022838966,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:40+02:00,45576.176,0,45577.27734375,45583.6544921875,45576.67664446408,45578.922395121444,29.60882230545152,30.611246374669303,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:42+02:00,45575.812,0,45576.70390625,45582.5994140625,45576.388584901615,45578.46850197932,29.3598233995585,28.94819272486069,20,80,,,,,,green,,,0,0,0
2021-09-11 16:08:44+02:00,45570.406,0,45575.446875,45581.27421875,45574.39442061898,45577.29543568105,0.0,19.65621523500334,20,80,45582.46200818904,45577.21026781085,-5.2517403781894245,-5.2517403781894245,0.0,green,,,0,0,0
2021-09-11 16:08:46+02:00,45568.273,0,45573.36640625,45579.920703125,45572.354057000324,45575.98618684243,0.0,9.786607799852833,20,80,45581.41100295282,45575.83537083995,-5.575632112864696,-5.316518725124479,-0.25911338774021697,red,,,0,0,0
2021-09-11 16:08:48+02:00,45568.125,0,45571.75859375,45578.5599609375,45570.94435479215,45574.847964581706,0.0,0.0,20,80,45580.42685458594,45574.6491599415,-5.777694644435542,-5.408753908986692,-0.36894073544884964,red,,,0,0,0
2021-09-11 16:08:50+02:00,45571.54,0,45570.83125,45577.4330078125,45571.14259224551,45574.36979252108,32.346410066617324,10.782136688872441,20,80,45579.768499616606,45574.17068341204,-5.597816204564879,-5.44656636810233,-0.15124983646254897,red,,,0,1,0
2021-09-11 16:08:52+02:00,45571.312,0,45569.93125,45576.4728515625,45571.19922845903,45573.92871015284,30.199851961509992,20.84875400937577,20,80,45579.14212927464,45573.730962887115,-5.411166387522826,-5.43948637198643,0.02831998446360373,green,,,0,0,1
2021-09-11 16:08:54+02:00,45571.55,0,45570.16015625,45575.580859375,45571.3164131301,45573.586125861526,32.45743893412287,31.66790032075006,20,80,45578.57980719874,45573.39555032756,-5.184256871179969,-5.388440471825137,0.20418360064516872,green,,,0,0,0
2021-09-11 16:08:56+02:00,45571.54,0,45570.81328125,45574.7421875,45571.39062975876,45573.29156559576,32.346410066617324,31.66790032075006,20,80,45578.058270554386,45573.10993681562,-4.948333738764632,-5.300419125213036,0.3520853864484046,green,,,0,0,0
2021-09-11 16:08:58+02:00,45571.54,0,45571.49609375,45574.1681640625,45571.44010741563,45573.03965201809,32.346410066617324,32.38341968911917,20,80,45577.57536625406,45572.868263843986,-4.707102410073276,-5.181755782185084,0.474653372111808,green,,,0,0,0
2021-09-11 16:09:00+02:00,45571.53,0,45571.49453125,45573.5935546875,45571.47048830838,45572.82301909422,32.2843391336542,32.32571975562961,20,80,45577.127653938944,45572.66256940646,-4.465084532486799,-5.038421532245427,0.5733369997586282,green,,,0,0,0
2021-09-11 16:09:02+02:00,45571.53,0,45571.53828125,45573.019140625,45571.4907422195,45572.63763940328,32.2843391336542,32.30502944464191,20,80,45576.713105499024,45572.488520267,-4.224585232026584,-4.8756542722016585,0.6510690401750745,green,,,0,0,0
