,symbol,ind,trade,buyPrice,qty,buyTime,sellPrice,sellTime,profit,profit_ps,status,buy_dt,sell_dt
2c012038,BTCUSDT,rand,long,66658.32,0.0007500939117577519,1634746676.9483607,66658.32,1634746676.9716628,0.0,0.0,closed--1-n,211020-181756,211020-181756
c7dd61c9,BTCEUR,rand,long,57125.66,0.000875263410523397,1634746676.949833,57125.66,1634746678.9879541,0.0,0.0,closed--1-n,211020-181756,211020-181758
914c1ed3,BTCUSDT,rand,long,66658.05,0.0007500969500307915,1634746677.9935265,66658.05,1634746678.000061,0.0,0.0,closed--1-n,211020-181757,211020-181757
2e573ee3,LTCEUR,rand,long,174.9,0.2858776443682104,1634746678.9772487,174.9,1634746681.013917,0.0,0.0,closed--1-n,211020-181758,211020-181801
01bfa42d,BTCEUR,rand,long,57122.74,0.0008753081522349943,1634746681.0237546,57117.04,1634746681.039399,-0.0049892564677369204,-0.3197,closed--1-n,211020-181801,211020-181801
f6baa725,BTCEUR,rand,long,57117.04,0.0008753081522349943,1634746681.0453143,57112.95,1634746684.125829,-0.0035800103426444387,-0.0012,closed--1-n,211020-181801,211020-181804
532962b0,LTCEUR,rand,long,174.9,0.2858776443682104,1634746682.0413876,174.9,1634746682.048275,0.0,0.0,closed--1-n,211020-181802,211020-181802
0b8d960c,BTCUSDT,rand,long,66655.49,0.0007501257585834265,1634746683.0942245,66655.49,1634746683.1062489,0.0,0.0,closed--1-n,211020-181803,211020-181803
c031ee2d,LTCEUR,rand,long,174.9,0.2858776443682104,1634746683.0980105,174.9,1634746684.1281471,0.0,0.0,closed--1-n,211020-181803,211020-181804
92d7ec43,LTCEUR,rand,long,174.9,0.2858776443682104,1634746684.1398706,174.9,1634746685.1521416,0.0,0.0,closed--1-n,211020-181804,211020-181805
5ca737ba,BTCUSDT,rand,long,66643.81,0.0007502572256898278,1634746686.1934745,66640.03,1634746687.2340791,-0.0028359723131066755,-0.0027,closed--1-n,211020-181806,211020-181807
b586634b,BTCEUR,rand,long,57116.69,0.0008752508370703838,1634746687.1970904,57116.69,1634746687.2160938,0.0,0.0,closed--1-n,211020-181807,211020-181807
157b25ab,LTCEUR,rand,long,174.9,0.2858776443682104,1634746687.211,174.9,1634746687.2267327,0.0,0.0,closed--1-n,211020-181807,211020-181807
64e4973e,LTCEUR,rand,long,174.9,0.2858776443682104,1634746687.24421,174.9,1634746687.2546637,0.0,0.0,closed--1-n,211020-181807,211020-181807
746bdf42,BTCEUR,rand,long,57116.69,0.0008752508370703838,1634746688.2397974,57111.46,1634746691.2805328,-0.004577561877880909,-0.0015,closed--1-n,211020-181808,211020-181811
221adfdf,BTCUSDT,rand,long,66645.03,0.0007502009381297734,1634746688.2551804,66641.35,1634746690.3087523,-0.002760739452312326,-0.0013,closed--1-n,211020-181808,211020-181810
d648e6f2,LTCEUR,rand,long,174.9,0.2858776443682104,1634746688.2679336,174.9,1634746688.2759895,0.0,0.0,closed--1-n,211020-181808,211020-181808
d76505b2,LTCEUR,rand,long,174.7,0.2862049227246709,1634746689.3008313,174.7,1634746689.3146238,0.0,0.0,closed--1-n,211020-181809,211020-181809
af3d6974,LTCEUR,rand,long,174.7,0.2862049227246709,1634746690.3363562,175.0,1634746691.354261,0.08586147681740453,0.0844,closed--1-n,211020-181810,211020-181811
04314186,BTCUSDT,rand,long,66641.35,0.0007502009381297734,1634746691.3422773,66641.35,1634746691.353322,0.0,0.0,closed--1-n,211020-181811,211020-181811
