,open,high,low,close,bid,ask
2021-09-11 16:07:54+02:00,45852.324,45892.72,44132.29,45596.31,45596.31,45596.32
2021-09-11 16:07:56+02:00,45845.133,45892.72,44132.29,45596.61,45596.605,45596.617
2021-09-11 16:07:58+02:00,45824.73,45892.72,44132.29,45596.89,45596.883,45596.89
2021-09-11 16:08:00+02:00,45799.17,45892.72,44132.29,45600.99,45600.99,45601.0
2021-09-11 16:08:02+02:00,45791.83,45892.72,44132.29,45596.914,45596.91,45596.92
2021-09-11 16:08:04+02:00,45797.133,45892.72,44132.29,45596.91,45596.91,45596.92
2021-09-11 16:08:06+02:00,45731.42,45892.72,44132.29,45595.344,45595.34,45595.35
2021-09-11 16:08:08+02:00,45709.324,45892.72,44132.29,45595.34,45595.34,45595.35
2021-09-11 16:08:10+02:00,45717.297,45892.72,44132.29,45594.08,45594.08,45594.09
2021-09-11 16:08:12+02:00,45704.055,45892.72,44132.29,45590.516,45590.508,45590.516
2021-09-11 16:08:14+02:00,45725.54,45892.72,44132.29,45589.39,45589.39,45589.4
2021-09-11 16:08:16+02:00,45816.71,45892.72,44132.29,45588.312,45588.305,45588.312
2021-09-11 16:08:18+02:00,45790.258,45892.72,44132.29,45583.02,45583.02,45583.03
2021-09-11 16:08:20+02:00,45760.938,45892.72,44132.29,45583.023,45583.02,45583.03
2021-09-11 16:08:22+02:00,45750.21,45892.72,44132.29,45583.02,45583.02,45583.03
2021-09-11 16:08:24+02:00,45740.55,45892.72,44132.29,45572.97,45572.336,45572.344
2021-09-11 16:08:26+02:00,45748.56,45892.72,44132.29,45570.617,45571.773,45571.78
2021-09-11 16:08:28+02:00,45729.855,45892.72,44132.29,45572.562,45572.4,45572.41
2021-09-11 16:08:30+02:00,45724.113,45892.72,44132.29,45574.688,45574.805,45574.812
2021-09-11 16:08:32+02:00,45681.1,45892.72,44132.29,45578.68,45578.67,45578.68
2021-09-11 16:08:34+02:00,45667.42,45892.72,44132.29,45576.69,45576.688,45576.695
2021-09-11 16:08:36+02:00,45684.83,45892.72,44132.29,45578.676,45578.67,45578.68
2021-09-11 16:08:38+02:00,45690.734,45892.72,44132.29,45576.164,45576.164,45576.176
2021-09-11 16:08:40+02:00,45681.89,45892.72,44132.29,45576.176,45576.18,45576.19
2021-09-11 16:08:42+02:00,45689.715,45892.72,44132.29,45575.812,45573.938,45573.953
2021-09-11 16:08:44+02:00,45677.08,45892.72,44132.29,45570.406,45570.4,45570.41
2021-09-11 16:08:46+02:00,45735.047,45892.72,44132.29,45568.273,45569.133,45569.145
2021-09-11 16:08:48+02:00,45762.836,45892.72,44132.29,45568.125,45568.203,45569.465
2021-09-11 16:08:50+02:00,45754.29,45892.72,44132.29,45571.54,45571.547,45571.555
2021-09-11 16:08:52+02:00,45759.1,45892.72,44132.29,45571.312,45571.305,45571.312
2021-09-11 16:08:54+02:00,45754.67,45892.72,44132.29,45571.55,45571.54,45571.55
2021-09-11 16:08:56+02:00,45765.305,45892.72,44132.29,45571.54,45571.54,45571.55
2021-09-11 16:08:58+02:00,45797.36,45892.72,44132.29,45571.54,45570.203,45570.215
2021-09-11 16:09:00+02:00,45848.676,45882.78,44132.29,45571.53,45571.53,45571.54
2021-09-11 16:09:02+02:00,45807.258,45872.84,44132.29,45571.53,45571.53,45571.54
2021-09-11 16:09:04+02:00,45794.227,45872.84,44132.29,45571.535,45571.53,45571.54
2021-09-11 16:09:06+02:00,45769.22,45872.84,44132.29,45571.54,45571.53,45571.54
2021-09-11 16:09:08+02:00,45759.79,45872.84,44132.29,45571.53,45571.53,45571.54
2021-09-11 16:09:10+02:00,45757.227,45872.84,44132.29,45571.54,45571.53,45571.54
2021-09-11 16:09:12+02:00,45728.703,45872.84,44132.29,45571.53,45571.53,45571.54
2021-09-11 16:09:14+02:00,45719.32,45872.84,44132.29,45571.535,45571.53,45571.54
2021-09-11 16:09:16+02:00,45716.13,45872.84,44132.29,45571.535,45571.53,45571.54
2021-09-11 16:09:18+02:00,45725.64,45872.84,44132.29,45571.54,45571.53,45571.54
2021-09-11 16:09:20+02:00,45755.78,45872.84,44132.29,45571.53,45571.53,45571.54
2021-09-11 16:09:22+02:00,45780.047,45872.84,44132.29,45571.53,45571.53,45571.54
