,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,ema_long,ema_switch
2021-10-20 18:16:17+02:00,57203.69,0,,,57203.69140625,57203.69140625,57203.69140625,0
2021-10-20 18:16:18+02:00,57194.7,0,,,57198.29609375,57198.84945913462,57199.14989741162,0
2021-10-20 18:16:19+02:00,57198.21,0,,,57198.25575657894,57198.6031003937,57198.83056673837,0
2021-10-20 18:16:20+02:00,57198.4,0,,,57198.31502403846,57198.53957154977,57198.719238902166,0
2021-10-20 18:16:21+02:00,57189.71,0,57196.9421875,,57195.01203347156,57196.19237297226,57196.844056531336,0
2021-10-20 18:16:22+02:00,57189.71,0,57194.14609375,,57193.0749412594,57194.6579472404,57195.59436000029,0
2021-10-20 18:16:23+02:00,57172.66,0,57189.73828125,,57185.84697706715,57189.897121658265,57192.116172855356,0
2021-10-20 18:16:24+02:00,57170.95,0,57184.2859375,,57180.6794279094,57186.07736495084,57189.27948258307,0
2021-10-20 18:16:25+02:00,57172.22,0,57179.05,,57177.78388214947,57183.438562196825,57187.22709125268,0
2021-10-20 18:16:26+02:00,57163.16,0,57173.73984375,,57172.82328246176,57179.75264606238,57184.59577825944,0
2021-10-20 18:16:27+02:00,57147.94,0,57165.3859375,,57164.43231558914,57174.18700799492,57180.91688826371,0
2021-10-20 18:16:28+02:00,57147.94,0,57160.4421875,,57158.89264968409,57169.73794386259,57177.85343785681,0
2021-10-20 18:16:29+02:00,57177.59,0,57161.7703125,,57165.1572366013,57171.0344079465,57177.83061364402,0
2021-10-20 18:16:30+02:00,57177.59,0,57162.84453125,,57169.31568369228,57172.09323974598,57177.81106730602,0
2021-10-20 18:16:31+02:00,57166.68,0,57163.5484375,,57168.43500713055,57171.234864052945,57176.95949391369,0
2021-10-20 18:16:32+02:00,57156.51,0,57165.2625,,57164.454517618535,57168.93644730499,57175.478856229776,0
2021-10-20 18:16:33+02:00,57159.17,0,57167.50859375,,57162.691847707596,57167.43204510439,57174.35686088699,0
2021-10-20 18:16:34+02:00,57165.18,0,57165.0265625,,57163.521689141875,57167.088877237446,57173.754811891755,0
2021-10-20 18:16:35+02:00,57168.27,0,57163.1625,,57165.1050174062,57167.26706776828,57173.41065618079,0
2021-10-20 18:16:36+02:00,57184.12,0,57166.65078125,57175.2203125,57171.44561632062,57169.790407626635,57174.055102296166,1
2021-10-20 18:16:37+02:00,57148.43,0,57165.034375,57172.4572265625,57163.77210161655,57166.61412742339,57172.57276849509,-1
2021-10-20 18:16:38+02:00,57178.52,0,57168.90390625,57171.6482421875,57168.688568615486,57168.37414944998,57172.90422206869,1
2021-10-20 18:16:39+02:00,57174.82,0,57170.83203125,57170.4787109375,57170.73266538248,57169.322391586415,57173.007333943795,0
2021-10-20 18:16:40+02:00,57174.82,0,57172.1421875,57169.2998046875,57172.09529536622,57170.12772723798,57173.10170592568,0
2021-10-20 18:16:41+02:00,57174.82,0,57170.28203125,57168.5552734375,57173.0036703844,57170.81261601594,57173.18838707126,0
2021-10-20 18:16:42+02:00,57184.16,0,57177.428125,57168.277734375,57176.72259719122,57172.7546974162,57173.725423126336,0
2021-10-20 18:16:43+02:00,57168.77,0,57175.478125,57168.083203125,57174.0715285495,57172.176380499026,57173.48967102875,0
2021-10-20 18:16:44+02:00,57173.8,0,57175.27421875,57168.22578125,57173.98127839068,57172.411577694074,57173.50407348546,0
2021-10-20 18:16:45+02:00,57173.8,0,57175.0703125,57168.3048828125,57173.92111220646,57172.612332600256,57173.51745728826,0
2021-10-20 18:16:46+02:00,57162.24,0,57172.55390625,57168.2587890625,57170.02681491184,57171.115645218786,57173.02114103256,-1
2021-10-20 18:16:47+02:00,57162.24,0,57168.16953125,57168.9736328125,57167.43062799833,57169.83669804744,57172.55778597944,0
2021-10-20 18:16:48+02:00,57162.24,0,57166.86328125,57169.6884765625,57165.69984173724,57168.74333097668,57172.12429976613,0
2021-10-20 18:16:49+02:00,57162.36,0,57164.575,57168.926953125,57164.58635110424,57167.825669151316,57171.72294199019,0
