,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,ema_long,ema_switch
2021-10-20 18:16:16+02:00,66772.52,0,,,66772.5234375,66772.5234375,66772.5234375,0
2021-10-20 18:16:17+02:00,66745.26,0,,,66756.1640625,66757.84194711539,66758.75291982324,0
2021-10-20 18:16:18+02:00,66751.91,0,,,66754.14720394736,66755.55179625984,66756.42443736397,0
2021-10-20 18:16:19+02:00,66751.91,0,,,66753.21634615383,66754.42019230769,66755.2604336861,0
2021-10-20 18:16:20+02:00,66751.91,0,66754.7,,66752.71341824644,66753.7518305005,66754.5622214665,0
2021-10-20 18:16:21+02:00,66740.96,0,66748.3875,,66748.41890272556,66750.7236933791,66752.17932594549,0
2021-10-20 18:16:22+02:00,66740.95,0,66747.5265625,,66745.77560405538,66748.60911869696,66750.47676725891,0
2021-10-20 18:16:23+02:00,66718.81,0,66740.9078125,,66736.42297779542,66742.60234134133,66746.23327910916,0
2021-10-20 18:16:24+02:00,66718.82,0,66734.290625,,66730.39871787142,66738.07403289022,66742.9355230055,0
2021-10-20 18:16:25+02:00,66718.81,0,66727.671875,,66726.46848906724,66734.57294927248,66740.29807773615,0
2021-10-20 18:16:26+02:00,66715.19,0,66722.5171875,,66722.66417765808,66731.1813054679,66737.77780394189,0
2021-10-20 18:16:27+02:00,66691.43,0,66712.6125,,66712.1718126446,66724.44274792129,66733.47202438985,0
2021-10-20 18:16:28+02:00,66700.0,0,66708.85,,66708.09358689675,66720.40689096358,66730.57373270845,0
2021-10-20 18:16:29+02:00,66724.48,0,66709.98125,,66713.57334962263,66721.06422294964,66730.0787482744,0
2021-10-20 18:16:30+02:00,66710.74,0,66708.3671875,,66712.62746884664,66719.42755557674,66728.59946170422,0
2021-10-20 18:16:31+02:00,66701.72,0,66705.6734375,,66708.98568483767,66716.66305013403,66726.65301059152,0
2021-10-20 18:16:32+02:00,66700.41,0,66707.46875,,66706.12296768393,66714.15840731583,66724.84711269221,0
2021-10-20 18:16:33+02:00,66700.41,0,66707.55,,66704.21610486394,66712.06313679455,66723.24372173446,0
2021-10-20 18:16:34+02:00,66705.8,0,66703.8140625,,66704.74326604133,66711.11739951365,66722.14907729709,0
2021-10-20 18:16:35+02:00,66722.0,0,66706.065625,66724.201171875,66710.49724107943,66712.74671345914,66722.14010732881,0
2021-10-20 18:16:36+02:00,66727.98,0,66711.3171875,66721.973828125,66716.32484990562,66715.01135003133,66722.47772429413,1
2021-10-20 18:16:37+02:00,66721.17,0,66715.4703125,66720.76953125,66717.94074091251,66715.92208433301,66722.40494042281,0
2021-10-20 18:16:38+02:00,66718.03,0,66718.9953125,66719.07578125,66717.97091329686,66716.23234638233,66722.16957605103,0
2021-10-20 18:16:39+02:00,66720.28,0,66721.8921875,66717.49453125,66718.74107128108,66716.8254299287,66722.07128196406,0
2021-10-20 18:16:40+02:00,66725.47,0,66722.5859375,66716.17265625,66720.9837196677,66718.08693346898,66722.24263963594,0
2021-10-20 18:16:41+02:00,66725.54,0,66722.0984375,66715.4015625,66722.5022073687,66719.17122622477,66722.40398990698,0
2021-10-20 18:16:42+02:00,66725.53,0,66722.9703125,66714.63046875,66723.51190601746,66720.09417628244,66722.55275387218,0
2021-10-20 18:16:43+02:00,66722.38,0,66723.840625,66714.808984375,66723.13553709534,66720.42554821669,66722.54488664992,0
2021-10-20 18:16:44+02:00,66718.14,0,66723.4125,66714.775,66721.47055337232,66720.09535215289,66722.34622056676,0
2021-10-20 18:16:45+02:00,66715.3,0,66721.378125,66714.59921875,66719.41264984939,66719.40306521863,66722.03602904346,0
2021-10-20 18:16:46+02:00,66710.01,0,66718.271875,66714.340234375,66716.27769316686,66718.04950667008,66721.51915921229,-1
2021-10-20 18:16:47+02:00,66706.52,0,66714.4703125,66715.094921875,66713.02626707502,66716.39097373857,66720.88924151844,0
2021-10-20 18:16:48+02:00,66699.89,0,66709.971875,66715.089453125,66708.64771295089,66714.01913091919,66720.02615673024,0
2021-10-20 18:16:49+02:00,66697.0,0,66705.74375,66713.715625,66704.76513796765,66711.5748859178,66719.09929464619,0
2021-10-20 18:16:50+02:00,66683.04,0,66699.2921875,66712.33046875,66697.52310783822,66707.47975610726,66717.67659088691,0
2021-10-20 18:16:51+02:00,66656.13,0,66688.5171875,66710.051171875,66683.72633640876,66700.1158350405,66715.29480521294,0
2021-10-20 18:16:52+02:00,66651.01,0,66677.4140625,66707.58125,66672.82015844365,66693.07693538527,66712.85252753444,0
2021-10-20 18:16:53+02:00,66637.5,0,66664.9359375,66704.4359375,66661.04676990006,66685.11461899504,66710.04045742599,0
2021-10-20 18:16:54+02:00,66642.81,0,66654.0984375,66701.28671875,66654.96867910883,66679.05662014693,66707.57429803659,0
2021-10-20 18:16:55+02:00,66640.84,0,66645.659375,66697.22890625,66650.26036898007,66673.58615312033,66705.16655505744,0
2021-10-20 18:16:56+02:00,66648.75,0,66644.1828125,66693.267578125,66649.75691262304,66670.0317346314,66703.16317464746,0
2021-10-20 18:16:57+02:00,66654.0,0,66644.78125,66689.908984375,66651.17127513888,66667.7379485832,66701.44403024451,0
2021-10-20 18:16:58+02:00,66650.66,0,66647.4125,66686.540234375,66650.99960008799,66665.29447523576,66699.69426710432,0
2021-10-20 18:16:59+02:00,66659.74,0,66650.7984375,66683.51328125,66653.91379594406,66664.50039134576,66698.33742994322,0
2021-10-20 18:17:00+02:00,66654.4,0,66653.509375,66679.959765625,66654.07534313129,66663.05585186818,66696.86573797891,0
2021-10-20 18:17:01+02:00,66654.41,0,66654.640625,66676.403125,66654.18564542175,66661.81916476604,66695.46253531137,0
2021-10-20 18:17:02+02:00,66658.39,0,66655.51875,66673.04609375,66655.58730528859,66661.32902356905,66694.25316145508,0
2021-10-20 18:17:03+02:00,66654.69,0,66656.325,66669.661328125,66655.28737019133,66660.37965373734,66692.97852445685,0
2021-10-20 18:17:04+02:00,66654.41,0,66655.2578125,66666.474609375,66654.9936634602,66659.52586267535,66691.75088665646,0
2021-10-20 18:17:05+02:00,66644.02,0,66653.1828125,66662.9109375,66651.33692146774,66657.31023474131,66690.2496229494,0
2021-10-20 18:17:06+02:00,66651.66,0,66652.6328125,66659.993359375,66651.44336431194,66656.50221136514,66689.04941924862,0
2021-10-20 18:17:07+02:00,66650.0,0,66650.9546875,66657.1671875,66650.9622428743,66655.57301721451,66687.84836326036,0
2021-10-20 18:17:08+02:00,66644.14,0,66648.8453125,66654.3796875,66648.68837024848,66653.9393559647,66686.51833733507,0
2021-10-20 18:17:09+02:00,66652.75,0,66648.5140625,66652.1671875,66650.04224683273,66653.76940674172,66685.50137416791,0
2021-10-20 18:17:10+02:00,66654.37,0,66650.5828125,66650.73359375,66651.48389372212,66653.85482175363,66684.57313076212,0
2021-10-20 18:17:11+02:00,66679.99,0,66656.25,66651.9265625,66660.98665831605,66657.5893967577,66684.43788061317,1
2021-10-20 18:17:12+02:00,66684.29,0,66663.1078125,66653.590625,66668.75412637809,66661.40421750423,66684.43352828371,0
2021-10-20 18:17:13+02:00,66679.45,0,66670.1703125,66655.68828125,66672.32045925228,66663.98297053347,66684.28920597877,0
2021-10-20 18:17:14+02:00,66677.62,0,66675.14375,66657.428515625,66674.08603533493,66665.93093444973,66684.09758437368,0
2021-10-20 18:17:15+02:00,66677.62,0,66679.79375,66659.2671875,66675.26308605664,66667.60055979565,66683.91307513128,0
2021-10-20 18:17:16+02:00,66677.61,0,66679.3171875,66660.71015625,66676.0451823711,66669.03050845338,66683.73510453165,0
2021-10-20 18:17:17+02:00,66677.62,0,66677.9828125,66661.891015625,66676.56918408074,66670.25726359617,66683.56378948301,0
2021-10-20 18:17:18+02:00,66688.57,0,66679.80625,66663.78671875,66680.56956022052,66672.87357194391,66683.70287012101,0
2021-10-20 18:17:19+02:00,66684.71,0,66681.225,66665.03515625,66681.95001931369,66674.56471198452,66683.73065793174,0
2021-10-20 18:17:20+02:00,66681.31,0,66681.9640625,66666.380859375,66681.7375128758,66675.52872460932,66683.66450087521,0
2021-10-20 18:17:21+02:00,66677.62,0,66681.965625,66667.54140625,66680.36407108387,66675.82708783385,66683.5002642725,0
2021-10-20 18:17:22+02:00,66637.58,0,66673.9578125,66666.50078125,66666.10208905589,66670.36277159589,66682.26194759623,-1
2021-10-20 18:17:23+02:00,66636.25,0,66663.49375,66665.57890625,66656.15139270392,66665.48938191116,66681.02979185476,0
2021-10-20 18:17:24+02:00,66636.24,0,66653.8,66664.670703125,66649.51499096927,66661.31111089616,66679.83849867177,0
2021-10-20 18:17:25+02:00,66638.41,0,66645.21875,66664.38984375,66645.81207731285,66658.03892052599,66678.74367809293,0
2021-10-20 18:17:26+02:00,66641.79,0,66638.053125,66663.896484375,66644.47107237524,66655.71747125985,66677.77340944763,0
2021-10-20 18:17:27+02:00,66648.68,0,66640.2734375,66663.83046875,66645.87394408349,66654.71205836826,66677.01428278344,0
2021-10-20 18:17:28+02:00,66656.81,0,66644.3859375,66664.4640625,66649.520129389,66655.01212534987,66676.49036062475,0
2021-10-20 18:17:29+02:00,66652.04,0,66647.5453125,66664.428515625,66650.35977375932,66654.58739736445,66675.85997063486,0
2021-10-20 18:17:30+02:00,66655.66,0,66650.9953125,66664.49296875,66652.12526583955,66654.74009205293,66675.34208350383,0
2021-10-20 18:17:31+02:00,66659.8,0,66654.596875,66663.483203125,66654.68246889304,66655.46249551642,66674.94584133734,0
2021-10-20 18:17:32+02:00,66655.98,0,66656.05625,66662.067578125,66655.1138334287,66655.535934171,66674.46496063728,0
2021-10-20 18:17:33+02:00,66642.54,0,66653.2015625,66660.221875,66650.92224311913,66653.67922707778,66673.65993047555,0
2021-10-20 18:17:34+02:00,66644.59,0,66651.7125,66658.570703125,66648.81274541275,66652.3812951059,66672.93081254006,0
2021-10-20 18:17:35+02:00,66644.59,0,66649.5,66656.91953125,66647.4064136085,66651.26878375807,66672.22358044729,0
2021-10-20 18:17:36+02:00,66650.03,0,66647.546875,66655.540625,66648.28135907234,66651.09199255322,66671.67244011247,0
2021-10-20 18:17:37+02:00,66650.03,0,66646.3578125,66654.161328125,66648.86465604823,66650.940457412,66671.13757312673,0
2021-10-20 18:17:38+02:00,66649.99,0,66647.8484375,66652.232421875,66649.2404998655,66650.80498990565,66670.61741273852,0
2021-10-20 18:17:39+02:00,66652.47,0,66649.4234375,66650.6203125,66650.31658324366,66651.04267048466,66670.17301335077,0
2021-10-20 18:17:40+02:00,66652.62,0,66651.028125,66649.185546875,66651.0834513291,66651.2676019456,66669.74505063954,0
2021-10-20 18:17:41+02:00,66660.0,0,66653.021875,66648.3046875,66654.0556342194,66652.51508956273,66669.50852844471,1
2021-10-20 18:17:42+02:00,66664.93,0,66656.0015625,66649.672265625,66657.68031864626,66654.28860621121,66669.39786799448,0
2021-10-20 18:17:43+02:00,66667.27,0,66659.4578125,66651.2234375,66660.87802493085,66656.14358449205,66669.34673830953,0
2021-10-20 18:17:44+02:00,66667.26,0,66662.415625,66652.77421875,66663.00462078724,66657.73133309823,66669.2966667976,0
2021-10-20 18:17:45+02:00,66673.53,0,66666.5984375,66654.53046875,66666.5134971915,66659.98846621404,66669.39776830535,0
2021-10-20 18:17:46+02:00,66676.23,0,66669.84375,66656.25234375,66669.75118562767,66662.3081961311,66669.56017774281,0
2021-10-20 18:17:47+02:00,66671.34,0,66671.1265625,66657.385546875,66670.28204041845,66663.59899043578,66669.60243663382,0
2021-10-20 18:17:48+02:00,66671.36,0,66671.94375,66658.112890625,66670.64115194563,66664.70761746087,66669.64391129489,0
2021-10-20 18:17:49+02:00,66671.34,0,66672.7609375,66659.078125,66670.87535129709,66665.65563687788,66669.68389386355,0
2021-10-20 18:17:50+02:00,66652.96,0,66668.646875,66658.943359375,66664.90388003139,66663.84210760359,66669.29192695777,0
2021-10-20 18:17:51+02:00,66650.16,0,66663.4328125,66658.461328125,66659.98800335426,66661.88698435717,66668.84494575251,-1
2021-10-20 18:17:52+02:00,66652.46,0,66659.65625,66658.285546875,66657.47898140283,66660.5404058028,66668.46352049847,0
2021-10-20 18:17:53+02:00,66658.32,0,66657.0484375,66659.074609375,66657.75942510189,66660.2232495295,66668.22815526288,0
2021-10-20 18:17:54+02:00,66658.32,0,66654.44375,66659.7609375,66657.94638756792,66659.95140131837,66667.99898580364,0
2021-10-20 18:17:55+02:00,66658.32,0,66655.515625,66660.447265625,66658.07102921195,66659.71838858296,66667.77581560492,0
2021-10-20 18:17:56+02:00,66658.32,0,66657.1484375,66660.86171875,66658.1541236413,66659.51866339367,66667.55845592095,0
2021-10-20 18:17:57+02:00,66658.05,0,66658.265625,66661.2625,66658.1183740942,66659.30840787766,66667.34045843805,0
2021-10-20 18:17:58+02:00,66654.9,0,66657.58125,66661.5078125,66657.04506189613,66658.67841202929,66667.0561277278,0
2021-10-20 18:17:59+02:00,66655.47,0,66657.0109375,66661.6578125,66656.51962459742,66658.21988883226,66666.79208089357,0
2021-10-20 18:18:00+02:00,66655.47,0,66656.440625,66661.800390625,66656.16933306494,66657.82686896235,66666.53476826144,0
