,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,ema_long,ema_switch
2021-10-20 18:16:17+02:00,4095.56,0,,,4095.56005859375,4095.56005859375,4095.56005859375,0
2021-10-20 18:16:18+02:00,4096.01,0,,,4095.8298828125003,4095.802208533654,4095.7871833570075,0
2021-10-20 18:16:19+02:00,4096.05,0,,,4095.9340563322367,4095.8977377583656,4095.87649818849,0
2021-10-20 18:16:20+02:00,4095.85,0,,,4095.8991811899036,4095.882949925763,4095.8696967183096,0
2021-10-20 18:16:21+02:00,4095.87,0,4095.86796875,,4095.888023918839,4095.8795381879077,4095.869784243846,0
2021-10-20 18:16:22+02:00,4095.87,0,4095.92998046875,,4095.8814805568613,4095.8773078447207,4095.869842574364,0
2021-10-20 18:16:23+02:00,4095.93,0,4095.914013671875,,4095.89863492309,4095.8886968389106,4095.878955644959,0
2021-10-20 18:16:24+02:00,4096.54,0,4096.012060546875,,4096.121117215381,4096.02000260079,4095.967550767827,0
2021-10-20 18:16:25+02:00,4096.3,0,4096.102001953125,,4096.182270441846,4096.0732793906855,4096.007520626149,0
2021-10-20 18:16:26+02:00,4096.31,0,4096.189990234375,,4096.225618209083,4096.116317698882,4096.040598044815,0
2021-10-20 18:16:27+02:00,4095.56,0,4096.127978515625,,4096.0011701555495,4096.018995592949,4095.9923677333363,-1
2021-10-20 18:16:28+02:00,4095.56,0,4096.05400390625,,4095.8529908993933,4095.941198171424,4095.9522058455123,0
2021-10-20 18:16:29+02:00,4095.66,0,4095.877978515625,,4095.788298900279,4095.8947537080485,4095.9268965754754,0
2021-10-20 18:16:30+02:00,4095.57,0,4095.73203125,,4095.7153053481525,4095.842310639074,4095.8979283153553,0
2021-10-20 18:16:31+02:00,4092.54,0,4094.97802734375,,4094.6544606461684,4095.3187007200586,4095.641042898457,0
2021-10-20 18:16:32+02:00,4092.53,0,4094.372021484375,,4093.9452371136185,4094.88336377461,4095.415772230289,0
2021-10-20 18:16:33+02:00,4093.5,0,4093.960009765625,,4093.796673956865,4094.6702325240276,4095.2839582857005,0
2021-10-20 18:16:34+02:00,4094.05,0,4093.638037109375,,4093.8811894337937,4094.5757417044447,4095.203010272863,0
2021-10-20 18:16:35+02:00,4095.54,0,4093.63203125,,4094.43438885441,4094.7212785478278,4095.2241560246093,0
2021-10-20 18:16:36+02:00,4095.61,0,4094.246044921875,4095.3205078125,4094.826412936442,4094.854351638351,4095.247378687276,0
2021-10-20 18:16:37+02:00,4095.3,0,4094.800048828125,4095.307507324219,4094.9843232257695,4094.920625581932,4095.2504254566925,1
2021-10-20 18:16:38+02:00,4094.97,0,4095.09404296875,4095.255517578125,4094.9795384120303,4094.927920462599,4095.234793803954,0
