,open,high,low,close,bid,ask
2021-10-20 18:16:16+02:00,62449.46,67000.0,62400.41,66772.52,66772.52,66772.53
2021-10-20 18:16:17+02:00,62449.43,67000.0,62400.41,66745.26,66745.25,66745.26
2021-10-20 18:16:18+02:00,62449.42,67000.0,62400.41,66751.91,66751.9,66751.91
2021-10-20 18:16:19+02:00,62449.47,67000.0,62400.41,66751.91,66751.9,66751.91
2021-10-20 18:16:20+02:00,62454.49,67000.0,62400.41,66751.91,66751.9,66751.91
2021-10-20 18:16:21+02:00,62457.13,67000.0,62400.41,66740.96,66740.95,66740.96
2021-10-20 18:16:22+02:00,62457.14,67000.0,62400.41,66740.95,66740.95,66740.96
2021-10-20 18:16:23+02:00,62462.77,67000.0,62400.41,66718.81,66718.81,66718.82
2021-10-20 18:16:24+02:00,62453.66,67000.0,62400.41,66718.82,66718.81,66718.82
2021-10-20 18:16:25+02:00,62455.58,67000.0,62400.41,66718.81,66718.81,66718.82
2021-10-20 18:16:26+02:00,62458.27,67000.0,62400.41,66715.19,66715.19,66715.2
2021-10-20 18:16:27+02:00,62449.42,67000.0,62400.41,66691.43,66691.42,66691.43
2021-10-20 18:16:28+02:00,62444.9,67000.0,62400.41,66700.0,66699.99,66700.0
2021-10-20 18:16:29+02:00,62427.12,67000.0,62400.41,66724.48,66722.75,66724.47
2021-10-20 18:16:30+02:00,62420.0,67000.0,62400.41,66710.74,66708.09,66708.1
2021-10-20 18:16:31+02:00,62416.09,67000.0,62400.41,66701.72,66701.71,66701.72
2021-10-20 18:16:32+02:00,62406.99,67000.0,62406.98,66700.41,66699.0,66700.0
2021-10-20 18:16:33+02:00,62409.52,67000.0,62409.51,66700.41,66700.4,66700.41
2021-10-20 18:16:34+02:00,62409.52,67000.0,62409.51,66705.8,66705.8,66705.81
2021-10-20 18:16:35+02:00,62409.51,67000.0,62409.51,66722.0,66721.99,66722.0
2021-10-20 18:16:36+02:00,62413.39,67000.0,62412.99,66727.98,66719.02,66719.03
2021-10-20 18:16:37+02:00,62414.99,67000.0,62414.99,66721.17,66721.16,66721.17
2021-10-20 18:16:38+02:00,62428.76,67000.0,62422.93,66718.03,66718.03,66718.82
2021-10-20 18:16:39+02:00,62430.0,67000.0,62430.0,66720.28,66720.27,66720.28
2021-10-20 18:16:40+02:00,62442.6,67000.0,62430.0,66725.47,66725.47,66725.48
2021-10-20 18:16:41+02:00,62449.42,67000.0,62430.0,66725.54,66725.53,66725.54
2021-10-20 18:16:42+02:00,62449.42,67000.0,62430.0,66725.53,66725.52,66725.53
2021-10-20 18:16:43+02:00,62444.06,67000.0,62430.0,66722.38,66722.38,66724.47
2021-10-20 18:16:44+02:00,62448.22,67000.0,62430.0,66718.14,66718.14,66720.67
2021-10-20 18:16:45+02:00,62448.23,67000.0,62430.0,66715.3,66715.29,66715.3
2021-10-20 18:16:46+02:00,62449.43,67000.0,62430.0,66710.01,66710.0,66710.01
2021-10-20 18:16:47+02:00,62453.43,67000.0,62430.0,66706.52,66706.52,66706.53
2021-10-20 18:16:48+02:00,62457.13,67000.0,62430.0,66699.89,66699.88,66699.89
2021-10-20 18:16:49+02:00,62458.26,67000.0,62430.0,66697.0,66697.0,66697.01
2021-10-20 18:16:50+02:00,62457.15,67000.0,62430.0,66683.04,66683.03,66683.04
2021-10-20 18:16:51+02:00,62457.18,67000.0,62430.0,66656.13,66656.12,66656.13
