,open,high,low,close,bid,ask
2021-10-20 18:16:19+02:00,0.2097,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:16:20+02:00,0.2097,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:16:21+02:00,0.2097,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:16:22+02:00,0.2097,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:16:23+02:00,0.2097,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:16:24+02:00,0.2095,0.2211,0.2062,0.2156,0.2155,0.2157
2021-10-20 18:16:26+02:00,0.2095,0.2211,0.2062,0.2157,0.2155,0.2157
2021-10-20 18:16:26+02:00,0.2095,0.2211,0.2062,0.2157,0.2155,0.2156
2021-10-20 18:16:27+02:00,0.2095,0.2211,0.2062,0.2157,0.2155,0.2156
2021-10-20 18:16:28+02:00,0.2095,0.2211,0.2062,0.2157,0.2155,0.2156
2021-10-20 18:16:30+02:00,0.2095,0.2211,0.2062,0.2157,0.2155,0.2156
2021-10-20 18:16:30+02:00,0.2095,0.2211,0.2062,0.2157,0.2155,0.2156
2021-10-20 18:16:31+02:00,0.2095,0.2211,0.2062,0.2157,0.2154,0.2155
2021-10-20 18:16:33+02:00,0.2095,0.2211,0.2062,0.2157,0.2153,0.2156
2021-10-20 18:16:33+02:00,0.2095,0.2211,0.2062,0.2157,0.2153,0.2156
2021-10-20 18:16:35+02:00,0.2095,0.2211,0.2062,0.2157,0.2153,0.2156
2021-10-20 18:16:36+02:00,0.2095,0.2211,0.2062,0.2157,0.2153,0.2156
2021-10-20 18:16:36+02:00,0.2095,0.2211,0.2062,0.2157,0.2154,0.2156
2021-10-20 18:16:37+02:00,0.2095,0.2211,0.2062,0.2157,0.2154,0.2156
2021-10-20 18:16:41+02:00,0.2097,0.2211,0.2062,0.2157,0.2154,0.2156
2021-10-20 18:16:41+02:00,0.2097,0.2211,0.2062,0.2157,0.2154,0.2156
2021-10-20 18:16:43+02:00,0.2097,0.2211,0.2062,0.2157,0.2154,0.2156
2021-10-20 18:16:45+02:00,0.2097,0.2211,0.2062,0.2157,0.2154,0.2156
2021-10-20 18:16:47+02:00,0.2097,0.2211,0.2062,0.2157,0.2154,0.2156
2021-10-20 18:16:49+02:00,0.2097,0.2211,0.2062,0.2157,0.2153,0.2156
2021-10-20 18:16:50+02:00,0.2097,0.2211,0.2062,0.2157,0.2153,0.2156
2021-10-20 18:16:51+02:00,0.2097,0.2211,0.2062,0.2157,0.2153,0.2155
2021-10-20 18:16:52+02:00,0.2096,0.2211,0.2062,0.2157,0.2152,0.2154
2021-10-20 18:16:53+02:00,0.2096,0.2211,0.2062,0.2157,0.2152,0.2154
2021-10-20 18:16:53+02:00,0.2096,0.2211,0.2062,0.2157,0.2152,0.2154
2021-10-20 18:16:54+02:00,0.2096,0.2211,0.2062,0.2157,0.2152,0.2154
2021-10-20 18:16:56+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:16:56+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:16:58+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:16:59+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:17:01+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:17:02+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:17:03+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:17:03+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:17:04+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:17:06+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2154
2021-10-20 18:17:07+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2155
2021-10-20 18:17:08+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2155
2021-10-20 18:17:09+02:00,0.2096,0.2211,0.2062,0.2154,0.2152,0.2155
2021-10-20 18:17:10+02:00,0.2096,0.2211,0.2062,0.2154,0.2153,0.2155
2021-10-20 18:17:11+02:00,0.2096,0.2211,0.2062,0.2153,0.2153,0.2155
2021-10-20 18:17:12+02:00,0.2096,0.2211,0.2062,0.2155,0.2153,0.2156
2021-10-20 18:17:12+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:14+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:16+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:16+02:00,0.2097,0.2211,0.2062,0.2154,0.2154,0.2156
2021-10-20 18:17:18+02:00,0.2097,0.2211,0.2062,0.2154,0.2154,0.2156
2021-10-20 18:17:19+02:00,0.2097,0.2211,0.2062,0.2154,0.2155,0.2156
2021-10-20 18:17:19+02:00,0.2097,0.2211,0.2062,0.2154,0.2155,0.2156
2021-10-20 18:17:20+02:00,0.2097,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:17:21+02:00,0.2097,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:17:22+02:00,0.2097,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:24+02:00,0.2097,0.2211,0.2062,0.2155,0.2153,0.2156
2021-10-20 18:17:24+02:00,0.2097,0.2211,0.2062,0.2155,0.2153,0.2156
2021-10-20 18:17:25+02:00,0.2097,0.2211,0.2062,0.2155,0.2153,0.2154
2021-10-20 18:17:27+02:00,0.2097,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:27+02:00,0.2094,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:29+02:00,0.2094,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:29+02:00,0.2094,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:30+02:00,0.2094,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:32+02:00,0.2094,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:32+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:33+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:35+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:36+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:37+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:38+02:00,0.2096,0.2211,0.2062,0.2155,0.2153,0.2156
2021-10-20 18:17:39+02:00,0.2096,0.2211,0.2062,0.2155,0.2153,0.2156
2021-10-20 18:17:40+02:00,0.2096,0.2211,0.2062,0.2155,0.2153,0.2156
2021-10-20 18:17:41+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:42+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:44+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2155
2021-10-20 18:17:45+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2155
2021-10-20 18:17:46+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:17:47+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:17:50+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:17:51+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:52+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:52+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:56+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:57+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:17:57+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:17:59+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:17:59+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:18:02+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:18:05+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:18:06+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:18:07+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:18:08+02:00,0.2096,0.2211,0.2062,0.2155,0.2155,0.2156
2021-10-20 18:18:09+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:18:10+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:18:11+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:18:12+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:18:13+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:18:14+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:18:16+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:18:16+02:00,0.2096,0.2211,0.2062,0.2155,0.2154,0.2156
2021-10-20 18:18:18+02:00,0.2097,0.2211,0.2062,0.2155,0.2152,0.2155
2021-10-20 18:18:20+02:00,0.2097,0.2211,0.2062,0.2155,0.2152,0.2155
2021-10-20 18:18:22+02:00,0.2097,0.2211,0.2062,0.2155,0.2152,0.2155
2021-10-20 18:18:23+02:00,0.2097,0.2211,0.2062,0.2155,0.2152,0.2155
2021-10-20 18:18:24+02:00,0.2097,0.2211,0.2062,0.2155,0.2152,0.2155
2021-10-20 18:18:26+02:00,0.2097,0.2211,0.2062,0.2155,0.2152,0.2155
2021-10-20 18:18:26+02:00,0.2097,0.2211,0.2062,0.2155,0.2154,0.2155
